Name,Value,Year,Type,Gender
Annaliese,3192.0,2021,Rank,Girl
Annalise,957.0,2021,Rank,Girl
Anne,1505.0,2021,Rank,Girl
Anne-Marie,2942.0,2021,Rank,Girl
Anneliese,2711.0,2021,Rank,Girl
Annie,112.0,2021,Rank,Girl
Annika,1454.0,2021,Rank,Girl
Anoushka,1454.0,2021,Rank,Girl
Antonia,262.0,2021,Rank,Girl
Anum,2073.0,2021,Rank,Girl
Anushka,2073.0,2021,Rank,Girl
Anwen,1161.0,2021,Rank,Girl
Anya,278.0,2021,Rank,Girl
Aoife,190.0,2021,Rank,Girl
April,257.0,2021,Rank,Girl
Aqsa,383.0,2021,Rank,Girl
Arabella,47.0,2021,Rank,Girl
Araminta,3192.0,2021,Rank,Girl
Areeba,1962.0,2021,Rank,Girl
Aria,37.0,2021,Rank,Girl
Ariana,142.0,2021,Rank,Girl
Ariane,5581.0,2021,Rank,Girl
Arianna,398.0,2021,Rank,Girl
Arianne,3519.0,2021,Rank,Girl
Ariella,197.0,2021,Rank,Girl
Arielle,483.0,2021,Rank,Girl
Arifa,4634.0,2021,Rank,Girl
Armani,1785.0,2021,Rank,Girl
Arooj,4634.0,2021,Rank,Girl
Arwa,560.0,2021,Rank,Girl
Asha,1259.0,2021,Rank,Girl
Ashleigh,1195.0,2021,Rank,Girl
Ashley,936.0,2021,Rank,Girl
Ashlyn,3961.0,2021,Rank,Girl
Asia,1351.0,2021,Rank,Girl
Asiya,616.0,2021,Rank,Girl
Asiyah,640.0,2021,Rank,Girl
Asma,957.0,2021,Rank,Girl
Asmaa,2201.0,2021,Rank,Girl
Astrid,240.0,2021,Rank,Girl
Athena,185.0,2021,Rank,Girl
Atlanta,1692.0,2021,Rank,Girl
Audrey,336.0,2021,Rank,Girl
Aurelia,204.0,2021,Rank,Girl
Aurora,56.0,2021,Rank,Girl
Autumn,108.0,2021,Rank,Girl
Ava,4.0,2021,Rank,Girl
Avani,884.0,2021,Rank,Girl
Avneet,860.0,2021,Rank,Girl
Avni,1128.0,2021,Rank,Girl
Avril,2499.0,2021,Rank,Girl
Aya,250.0,2021,Rank,Girl
Ayah,196.0,2021,Rank,Girl
Ayanna,1161.0,2021,Rank,Girl
Ayesha,309.0,2021,Rank,Girl
Ayisha,2942.0,2021,Rank,Girl
Ayla,67.0,2021,Rank,Girl
Aylin,828.0,2021,Rank,Girl
Ayomide,3961.0,2021,Rank,Girl
Ayse,1785.0,2021,Rank,Girl
Aysha,616.0,2021,Rank,Girl
Azaria,1128.0,2021,Rank,Girl
Azra,1007.0,2021,Rank,Girl
Bailey,560.0,2021,Rank,Girl
Barbara,1351.0,2021,Rank,Girl
Baylee,3961.0,2021,Rank,Girl
Bayleigh,2499.0,2021,Rank,Girl
Beatrice,99.0,2021,Rank,Girl
Beatrix,164.0,2021,Rank,Girl
Beau,395.0,2021,Rank,Girl
Bella,72.0,2021,Rank,Girl
Belle,324.0,2021,Rank,Girl
Bernadette,2341.0,2021,Rank,Girl
Bernice,5581.0,2021,Rank,Girl
Beth,1351.0,2021,Rank,Girl
Bethan,1195.0,2021,Rank,Girl
Bethany,227.0,2021,Rank,Girl
Betsy,179.0,2021,Rank,Girl
Betty,407.0,2021,Rank,Girl
Bianca,449.0,2021,Rank,Girl
Bibi,1351.0,2021,Rank,Girl
Billie,229.0,2021,Rank,Girl
Billie-Jo,2201.0,2021,Rank,Girl
Blaise,4634.0,2021,Rank,Girl
Bliss,3192.0,2021,Rank,Girl
Blossom,336.0,2021,Rank,Girl
Blythe,1692.0,2021,Rank,Girl
Bobbi,983.0,2021,Rank,Girl
Bobbie,567.0,2021,Rank,Girl
Bonita,3192.0,2021,Rank,Girl
Bonnie,40.0,2021,Rank,Girl
Breanna,2942.0,2021,Rank,Girl
Briana,2073.0,2021,Rank,Girl
Brianna,431.0,2021,Rank,Girl
Bridget,709.0,2021,Rank,Girl
Bridie,1569.0,2021,Rank,Girl
Briony,2711.0,2021,Rank,Girl
Britney,3192.0,2021,Rank,Girl
Brodie,1692.0,2021,Rank,Girl
Brogan,2942.0,2021,Rank,Girl
Bronte,1069.0,2021,Rank,Girl
Bronwen,1866.0,2021,Rank,Girl
Bronwyn,3192.0,2021,Rank,Girl
Brooke,242.0,2021,Rank,Girl
Brooklyn,767.0,2021,Rank,Girl
Bryony,936.0,2021,Rank,Girl
Bushra,1454.0,2021,Rank,Girl
Caitlin,529.0,2021,Rank,Girl
Caitlyn,1286.0,2021,Rank,Girl
Cali,549.0,2021,Rank,Girl
Calli,3961.0,2021,Rank,Girl
Callie,172.0,2021,Rank,Girl
Cally,2201.0,2021,Rank,Girl
Cameron,3192.0,2021,Rank,Girl
Camilla,478.0,2021,Rank,Girl
Camille,555.0,2021,Rank,Girl
Candice,2711.0,2021,Rank,Girl
Caoimhe,957.0,2021,Rank,Girl
Cara,373.0,2021,Rank,Girl
Cari,2341.0,2021,Rank,Girl
Cariad,3519.0,2021,Rank,Girl
Carina,1402.0,2021,Rank,Girl
Carla,537.0,2021,Rank,Girl
Carlotta,2711.0,2021,Rank,Girl
Carly,2201.0,2021,Rank,Girl
Carmel,4634.0,2021,Rank,Girl
Carmen,755.0,2021,Rank,Girl
Carolina,1039.0,2021,Rank,Girl
Caroline,1128.0,2021,Rank,Girl
Carrie,2341.0,2021,Rank,Girl
Carys,767.0,2021,Rank,Girl
Casey,918.0,2021,Rank,Girl
Cassandra,747.0,2021,Rank,Girl
Cassia,1161.0,2021,Rank,Girl
Cassidy,779.0,2021,Rank,Girl
Cassie,537.0,2021,Rank,Girl
Catarina,1962.0,2021,Rank,Girl
Caterina,2942.0,2021,Rank,Girl
Catherine,457.0,2021,Rank,Girl
Catrin,2073.0,2021,Rank,Girl
Cecilia,303.0,2021,Rank,Girl
Cecily,709.0,2021,Rank,Girl
Celeste,603.0,2021,Rank,Girl
Celia,812.0,2021,Rank,Girl
