Country_code_9_digit,Country_code,Country_name,Characteristic,Characteristic_category,NATden_girls_15,NATden_boys_15,NATden_all_15,KS4_LEVEL2_girls_15,KS4_LEVEL2_boys_15,KS4_LEVEL2_all_15,KS4_LEVEL2_EM_girls_15,KS4_LEVEL2_EM_boys_15,KS4_LEVEL2_EM_all_15,KS4_LEVEL1_girls_15,KS4_LEVEL1_boys_15,KS4_LEVEL1_all_15,KS4_LEVEL1_EM_girls_15,KS4_LEVEL1_EM_boys_15,KS4_LEVEL1_EM_all_15,KS4_L2BASICS_girls_15,KS4_L2BASICS_boys_15,KS4_L2BASICS_all_15,KS4_LEVEL2MFL_girls_15,KS4_LEVEL2MFL_boys_15,KS4_LEVEL2MFL_all_15,KS4_GLEVEL2EM_girls_15,KS4_GLEVEL2EM_boys_15,KS4_GLEVEL2EM_all_15,KS4_EBACC_E_girls_15,KS4_EBACC_E_boys_15,KS4_EBACC_E_all_15,KS4_EBACC_girls_15,KS4_EBACC_boys_15,KS4_EBACC_all_15,NATden_PROGENG_girls_15,NATden_PROGENG_boys_15,NATden_PROGENG_all_15,KS4_PROGENG_girls_15,KS4_PROGENG_boys_15,KS4_PROGENG_all_15,NATden_PROGMAT_girls_15,NATden_PROGMAT_boys_15,NATden_PROGMAT_all_15,KS4_PROGMAT_girls_15,KS4_PROGMAT_boys_15,KS4_PROGMAT_all_15,NATden_girls_FSM_15,NATden_boys_FSM_15,NATden_all_FSM_15,KS4_LEVEL2_girls_FSM_15,KS4_LEVEL2_boys_FSM_15,KS4_LEVEL2_all_FSM_15,KS4_LEVEL2_EM_girls_FSM_15,KS4_LEVEL2_EM_boys_FSM_15,KS4_LEVEL2_EM_all_FSM_15,KS4_LEVEL1_girls_FSM_15,KS4_LEVEL1_boys_FSM_15,KS4_LEVEL1_all_FSM_15,KS4_LEVEL1_EM_girls_FSM_15,KS4_LEVEL1_EM_boys_FSM_15,KS4_LEVEL1_EM_all_FSM_15,KS4_L2BASICS_girls_FSM_15,KS4_L2BASICS_boys_FSM_15,KS4_L2BASICS_all_FSM_15,KS4_EBACC_E_girls_FSM_15,KS4_EBACC_E_boys_FSM_15,KS4_EBACC_E_all_FSM_15,KS4_EBACC_girls_FSM_15,KS4_EBACC_boys_FSM_15,KS4_EBACC_all_FSM_15,NATden_PROGENG_girls_FSM_15,NATden_PROGENG_boys_FSM_15,NATden_PROGENG_all_FSM_15,KS4_PROGENG_girls_FSM_15,KS4_PROGENG_boys_FSM_15,KS4_PROGENG_all_FSM_15,NATden_PROGMAT_girls_FSM_15,NATden_PROGMAT_boys_FSM_15,NATden_PROGMAT_all_FSM_15,KS4_PROGMAT_girls_FSM_15,KS4_PROGMAT_boys_FSM_15,KS4_PROGMAT_all_FSM_15,NATden_girls_allother_15,NATden_boys_allother_15,NATden_all_allother_15,KS4_LEVEL2_girls_allother_15,KS4_LEVEL2_boys_allother_15,KS4_LEVEL2_all_allother_15,KS4_LEVEL2_EM_girls_allother_15,KS4_LEVEL2_EM_boys_allother_15,KS4_LEVEL2_EM_all_allother_15,KS4_LEVEL1_girls_allother_15,KS4_LEVEL1_boys_allother_15,KS4_LEVEL1_all_allother_15,KS4_LEVEL1_EM_girls_allother_15,KS4_LEVEL1_EM_boys_allother_15,KS4_LEVEL1_EM_all_allother_15,KS4_L2BASICS_girls_allother_15,KS4_L2BASICS_boys_allother_15,KS4_L2BASICS_all_allother_15,KS4_EBACC_E_girls_allother_15,KS4_EBACC_E_boys_allother_15,KS4_EBACC_E_all_allother_15,KS4_EBACC_girls_allother_15,KS4_EBACC_boys_allother_15,KS4_EBACC_all_allother_15,NATden_PROGENG_girls_allother_15,NATden_PROGENG_boys_allother_15,NATden_PROGENG_all_allother_15,KS4_PROGENG_girls_allother_15,KS4_PROGENG_boys_allother_15,KS4_PROGENG_all_allother_15,NATden_PROGMAT_girls_allother_15,NATden_PROGMAT_boys_allother_15,NATden_PROGMAT_all_allother_15,KS4_PROGMAT_girls_allother_15,KS4_PROGMAT_boys_allother_15,KS4_PROGMAT_all_allother_15
E92000001,921,England,ETHNICGROUP_MINOR,Unclassified,2858,3040,5898,1898,1684,3582,1635,1443,3078,2627,2692,5319,2521,2598,5119,1668,1520,3188,1136,831,1967,1589,1377,2966,1118,960,2078,762,556,1318,2729,2894,5623,1936,1794,3730,2722,2914,5636,1726,1790,3516,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,EAL_status,English,232253,241948,474201,167105,147426,314531,144785,127874,272659,222170,224684,446854,216224,218761,434985,148543,134862,283405,91382,61687,153069,140479,121945,262424,99586,81155,180741,67215,46300,113515,230035,238729,468764,174650,155754,330404,229618,239107,468725,156187,153488,309675,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,EAL_status,Other than English,38328,40021,78349,27350,24095,51445,22650,20132,42782,36500,37039,73539,35208,35667,70875,23022,20942,43964,21846,16573,38419,22150,19296,41446,18004,15015,33019,12073,8627,20700,33522,34616,68138,26953,24579,51532,34104,35520,69624,25181,25379,50560,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,EAL_status,Unclassified,494,425,919,245,166,411,216,141,357,392,315,707,375,299,674,223,150,373,148,72,220,207,130,337,133,79,212,76,37,113,464,400,864,262,176,438,462,407,869,233,186,419,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,FSM_status,FSM,37365,39101,76466,17790,14209,31999,13893,11446,25339,32953,31769,64722,30853,29955,60808,14688,12623,27311,8647,5559,14206,13028,10427,23455,9165,7059,16224,4650,2949,7599,36233,37782,74015,22319,18985,41304,36310,37938,74248,17382,16897,34279,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,FSM_status,All other pupils,233577,243176,476753,176900,157467,334367,153751,136693,290444,226048,230222,456270,220903,224731,445634,157090,143321,300411,104729,72769,177498,149803,130938,280741,108556,89189,197745,74714,52015,126729,227659,235853,463512,179528,161511,341039,227747,236983,464730,164200,162138,326338,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,Disadvantaged_status,Disadvantaged pupils,74540,76653,151193,38630,30685,69315,30610,24894,55504,67238,64749,131987,63611,61407,125018,32177,27357,59534,18586,11761,30347,28829,22822,51651,20059,15206,35265,10394,6475,16869,72546,74272,146818,46713,39278,85991,72643,74562,147205,37309,35762,73071,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,Disadvantaged_status,All other pupils,196402,205624,402026,156060,140991,297051,137034,123245,260279,191763,197242,389005,188145,193279,381424,139601,128587,268188,94790,66567,161357,134002,118543,252545,97662,81042,178704,68970,48489,117459,191346,199363,390709,155134,141218,296352,191414,200359,391773,144273,143273,287546,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,SEN_status,No identified SEN,237626,226113,463739,184393,157727,342120,160121,137713,297834,232834,220153,452987,228553,216430,444983,163697,144238,307935,109029,74072,183101,155811,131929,287740,113245,90850,204095,77203,52831,130034,231455,218916,450371,184425,155336,339761,231556,220029,451585,169561,158247,327808,28565,25121,53686,16222,12347,28569,12848,10118,22966,26896,23277,50173,25775,22474,48249,13503,11050,24553,8500,6332,14832,4441,2728,7169,27636,24120,51756,18628,14252,32880,27687,24223,51910,15276,13497,28773,209061,200992,410053,168171,145380,313551,147273,127595,274868,205938,196876,402814,202778,193956,396734,150194,133188,283382,104745,84518,189263,72762,50103,122865,203819,194796,398615,165797,141084,306881,203869,195806,399675,154285,144750,299035
E92000001,921,England,SEN_status,All SEN pupils,33288,56140,89428,10275,13940,24215,7503,10419,17922,26144,41827,67971,23181,38246,61427,8061,11699,19760,4336,4253,8589,7001,9431,16432,4469,5396,9865,2158,2132,4290,32412,54697,87109,17404,25154,42558,32475,54869,87344,12005,20779,32784,8800,13978,22778,1568,1861,3429,1045,1328,2373,6057,8490,14547,5078,7479,12557,1185,1573,2758,665,726,1391,209,221,430,8597,13661,22258,3691,4733,8424,8623,13714,22337,2106,3400,5506,24488,42162,66650,8707,12079,20786,6458,9091,15549,20087,33337,53424,18103,30767,48870,6876,10126,17002,3804,4670,8474,1949,1911,3860,23815,41036,64851,13713,20421,34134,23852,41155,65007,9899,17379,27278
