Country_code_9_digit,Country_code,Country_name,Characteristic,Characteristic_category,NATden_girls_15,NATden_boys_15,NATden_all_15,KS4_LEVEL2_girls_15,KS4_LEVEL2_boys_15,KS4_LEVEL2_all_15,KS4_LEVEL2_EM_girls_15,KS4_LEVEL2_EM_boys_15,KS4_LEVEL2_EM_all_15,KS4_LEVEL1_girls_15,KS4_LEVEL1_boys_15,KS4_LEVEL1_all_15,KS4_LEVEL1_EM_girls_15,KS4_LEVEL1_EM_boys_15,KS4_LEVEL1_EM_all_15,KS4_L2BASICS_girls_15,KS4_L2BASICS_boys_15,KS4_L2BASICS_all_15,KS4_LEVEL2MFL_girls_15,KS4_LEVEL2MFL_boys_15,KS4_LEVEL2MFL_all_15,KS4_GLEVEL2EM_girls_15,KS4_GLEVEL2EM_boys_15,KS4_GLEVEL2EM_all_15,KS4_EBACC_E_girls_15,KS4_EBACC_E_boys_15,KS4_EBACC_E_all_15,KS4_EBACC_girls_15,KS4_EBACC_boys_15,KS4_EBACC_all_15,NATden_PROGENG_girls_15,NATden_PROGENG_boys_15,NATden_PROGENG_all_15,KS4_PROGENG_girls_15,KS4_PROGENG_boys_15,KS4_PROGENG_all_15,NATden_PROGMAT_girls_15,NATden_PROGMAT_boys_15,NATden_PROGMAT_all_15,KS4_PROGMAT_girls_15,KS4_PROGMAT_boys_15,KS4_PROGMAT_all_15,NATden_girls_FSM_15,NATden_boys_FSM_15,NATden_all_FSM_15,KS4_LEVEL2_girls_FSM_15,KS4_LEVEL2_boys_FSM_15,KS4_LEVEL2_all_FSM_15,KS4_LEVEL2_EM_girls_FSM_15,KS4_LEVEL2_EM_boys_FSM_15,KS4_LEVEL2_EM_all_FSM_15,KS4_LEVEL1_girls_FSM_15,KS4_LEVEL1_boys_FSM_15,KS4_LEVEL1_all_FSM_15,KS4_LEVEL1_EM_girls_FSM_15,KS4_LEVEL1_EM_boys_FSM_15,KS4_LEVEL1_EM_all_FSM_15,KS4_L2BASICS_girls_FSM_15,KS4_L2BASICS_boys_FSM_15,KS4_L2BASICS_all_FSM_15,KS4_EBACC_E_girls_FSM_15,KS4_EBACC_E_boys_FSM_15,KS4_EBACC_E_all_FSM_15,KS4_EBACC_girls_FSM_15,KS4_EBACC_boys_FSM_15,KS4_EBACC_all_FSM_15,NATden_PROGENG_girls_FSM_15,NATden_PROGENG_boys_FSM_15,NATden_PROGENG_all_FSM_15,KS4_PROGENG_girls_FSM_15,KS4_PROGENG_boys_FSM_15,KS4_PROGENG_all_FSM_15,NATden_PROGMAT_girls_FSM_15,NATden_PROGMAT_boys_FSM_15,NATden_PROGMAT_all_FSM_15,KS4_PROGMAT_girls_FSM_15,KS4_PROGMAT_boys_FSM_15,KS4_PROGMAT_all_FSM_15,NATden_girls_allother_15,NATden_boys_allother_15,NATden_all_allother_15,KS4_LEVEL2_girls_allother_15,KS4_LEVEL2_boys_allother_15,KS4_LEVEL2_all_allother_15,KS4_LEVEL2_EM_girls_allother_15,KS4_LEVEL2_EM_boys_allother_15,KS4_LEVEL2_EM_all_allother_15,KS4_LEVEL1_girls_allother_15,KS4_LEVEL1_boys_allother_15,KS4_LEVEL1_all_allother_15,KS4_LEVEL1_EM_girls_allother_15,KS4_LEVEL1_EM_boys_allother_15,KS4_LEVEL1_EM_all_allother_15,KS4_L2BASICS_girls_allother_15,KS4_L2BASICS_boys_allother_15,KS4_L2BASICS_all_allother_15,KS4_EBACC_E_girls_allother_15,KS4_EBACC_E_boys_allother_15,KS4_EBACC_E_all_allother_15,KS4_EBACC_girls_allother_15,KS4_EBACC_boys_allother_15,KS4_EBACC_all_allother_15,NATden_PROGENG_girls_allother_15,NATden_PROGENG_boys_allother_15,NATden_PROGENG_all_allother_15,KS4_PROGENG_girls_allother_15,KS4_PROGENG_boys_allother_15,KS4_PROGENG_all_allother_15,NATden_PROGMAT_girls_allother_15,NATden_PROGMAT_boys_allother_15,NATden_PROGMAT_all_allother_15,KS4_PROGMAT_girls_allother_15,KS4_PROGMAT_boys_allother_15,KS4_PROGMAT_all_allother_15
E92000001,921,England,SEN_status,SEN support,27780,40687,68467,9716,12015,21731,7106,8964,16070,24070,34943,59013,21571,32288,53859,7629,10054,17683,4114,3731,7845,6627,8119,14746,4265,4809,9074,2063,1859,3922,26973,39498,66471,15892,20551,36443,27019,39634,66653,11156,17219,28375,7081,9119,16200,1470,1595,3065,979,1132,2111,5553,6976,12529,4719,6221,10940,1107,1331,2438,639,642,1281,198,185,383,6894,8876,15770,3326,3775,7101,6916,8914,15830,1924,2705,4629,20699,31568,52267,8246,10420,18666,6127,7832,13959,18517,27967,46484,16852,26067,42919,6522,8723,15245,3626,4167,7793,1865,1674,3539,20079,30622,50701,12566,16776,29342,20103,30720,50823,9232,14514,23746
E92000001,921,England,SEN_status,SEN with a statement or EHC plan,5508,15453,20961,559,1925,2484,397,1455,1852,2074,6884,8958,1610,5958,7568,432,1645,2077,222,522,744,374,1312,1686,204,587,791,95,273,368,5439,15199,20638,1512,4603,6115,5456,15235,20691,849,3560,4409,1719,4859,6578,98,266,364,66,196,262,504,1514,2018,359,1258,1617,78,242,320,26,84,110,11,36,47,1703,4785,6488,365,958,1323,1707,4800,6507,182,695,877,3789,10594,14383,461,1659,2120,331,1259,1590,1570,5370,6940,1251,4700,5951,354,1403,1757,178,503,681,84,237,321,3736,10414,14150,1147,3645,4792,3749,10435,14184,667,2865,3532
E92000001,921,England,PRIMARYNEED_status,All SEN primary need pupils,33288,56140,89428,10275,13940,24215,7503,10419,17922,26144,41827,67971,23181,38246,61427,8061,11699,19760,4336,4253,8589,7001,9431,16432,4469,5396,9865,2158,2132,4290,32412,54697,87109,17404,25154,42558,32475,54869,87344,12005,20779,32784,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,PRIMARYNEED_status,Specific Learning Difficulty,5204,8933,14137,2050,2846,4896,1503,2045,3548,4719,7950,12669,4297,7367,11664,1579,2251,3830,638,585,1223,1409,1857,3266,787,867,1654,381,317,698,5087,8652,13739,3319,5022,8341,5079,8693,13772,2407,4226,6633,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,PRIMARYNEED_status,Moderate Learning Difficulty,7247,10418,17665,1052,1212,2264,627,749,1376,5238,7123,12361,4235,6165,10400,709,910,1619,468,366,834,550,629,1179,436,390,826,109,90,199,7044,10123,17167,3297,4079,7376,7077,10173,17250,1729,2642,4371,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,PRIMARYNEED_status,Severe Learning Difficulty,895,1376,2271,7,17,24,5,12,17,72,106,178,36,78,114,5,13,18,x,x,5,5,11,16,x,x,x,x,x,x,889,1372,2261,46,78,124,891,1373,2264,14,49,63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,PRIMARYNEED_status,Profound & Multiple Learning Difficulty,240,323,563,x,x,5,x,x,4,15,20,35,14,19,33,x,x,4,x,x,4,x,x,x,x,x,8,x,x,x,239,323,562,7,11,18,239,323,562,6,5,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,PRIMARYNEED_status,"social, emotional and mental health (SEMH)",5861,10490,16351,1903,1914,3817,1477,1441,2918,4338,6596,10934,3948,6007,9955,1630,1722,3352,823,578,1401,1373,1267,2640,801,755,1556,403,256,659,5758,10267,16025,2725,3468,6193,5761,10279,16040,1967,2919,4886,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,PRIMARYNEED_status,"Speech, Language and Communications Needs",1789,4017,5806,419,871,1290,275,641,916,1353,3137,4490,1122,2798,3920,287,731,1018,229,326,555,250,577,827,187,345,532,78,122,200,1721,3905,5626,897,1980,2877,1713,3919,5632,575,1527,2102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,PRIMARYNEED_status,Hearing Impairment,846,788,1634,453,349,802,383,289,672,760,693,1453,716,656,1372,412,316,728,222,133,355,371,270,641,237,162,399,140,92,232,830,776,1606,577,474,1051,830,775,1605,503,463,966,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,PRIMARYNEED_status,Visual Impairment,379,487,866,229,235,464,193,194,387,336,422,758,327,405,732,202,210,412,108,96,204,186,179,365,122,112,234,78,55,133,368,473,841,258,293,551,368,473,841,228,265,493,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,PRIMARYNEED_status,Multi-Sensory Impairment,36,47,83,x,x,35,x,x,24,28,40,68,26,38,64,x,x,25,x,x,10,x,x,x,x,11,x,x,6,x,35,46,81,12,23,35,36,46,82,15,26,41,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,PRIMARYNEED_status,Physical Disability,991,1248,2239,444,445,889,355,354,709,757,957,1714,707,890,1597,383,386,769,201,163,364,337,337,674,216,217,433,124,100,224,982,1229,2211,578,622,1200,973,1232,2205,454,557,1011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,PRIMARYNEED_status,Autistic Spectrum Disorder,1203,5963,7166,377,1988,2365,302,1598,1900,761,4001,4762,696,3740,4436,319,1749,2068,163,651,814,281,1479,1760,161,777,938,97,408,505,1179,5862,7041,541,2737,3278,1185,5869,7054,412,2587,2999,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,PRIMARYNEED_status,Other Difficulty/Disability,2053,2584,4637,854,914,1768,639,703,1342,1808,2230,4038,1631,2097,3728,687,760,1447,415,323,738,613,656,1269,416,383,799,226,163,389,1980,2502,4482,1253,1343,2596,1989,2509,4498,884,1134,2018,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,PRIMARYNEED_status,SEN support but no specialist assessment of type,643,664,1307,219,164,383,145,118,263,575,582,1157,520,542,1062,154,139,293,99,70,169,133,105,238,90,91,181,43,25,68,610,633,1243,325,295,620,623,639,1262,271,264,535,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,Disadvantaged_schools,Schools with the greatest proportions of disdavantaged pupils,.,.,67473,.,.,.,.,.,.,.,.,.,.,.,.,.,.,55632,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
E92000001,921,England,Disadvantaged_schools,Schools with the least proportions of disdavantaged pupils,.,.,24530,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9664,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,
